condition,ds_name,loss,strong_model,weak_model,gt_fraction_requested,gt_fraction_actual,gt_seed,seed,lr,accuracy,run_dir
baseline,boolq,logconf,gpt2,,0.0,0.0,,1,5e-05,0.617925971245029,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-nd=20000-ntd=10000-o=adam-s=1-twd=0
baseline,boolq,logconf,gpt2,,0.0,0.0,,2,5e-05,0.6090547568063628,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-nd=20000-ntd=10000-o=adam-s=2-twd=0
baseline,boolq,logconf,gpt2,gpt2,0.0,0.0,,0,5e-05,0.6145610278372591,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2,gpt2,0.0,0.0,,1,5e-05,0.6072193331293974,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2,gpt2,0.0,0.0,,2,5e-05,0.6170082594065464,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-large,,0.0,0.0,,1,1e-05,0.5851942490058122,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=1-twd=0
baseline,boolq,logconf,gpt2-large,,0.0,0.0,,2,1e-05,0.6047721015601101,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=2-twd=0
baseline,boolq,logconf,gpt2-large,gpt2,0.0,0.0,,0,1e-05,0.5870296726827776,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-large,gpt2,0.0,0.0,,1,1e-05,0.5937595594983175,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-large,gpt2,0.0,0.0,,2,1e-05,0.6124197002141327,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-large,gpt2-large,0.0,0.0,,0,1e-05,0.6087488528602019,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2-large
baseline,boolq,logconf,gpt2-large,gpt2-large,0.0,0.0,,1,1e-05,0.5962067910676048,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2-large
baseline,boolq,logconf,gpt2-large,gpt2-large,0.0,0.0,,2,1e-05,0.6035484857754665,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2-large
baseline,boolq,logconf,gpt2-large,gpt2-medium,0.0,0.0,,0,1e-05,0.6127256041602936,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-large,gpt2-medium,0.0,0.0,,1,1e-05,0.6105842765371673,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-large,gpt2-medium,0.0,0.0,,2,1e-05,0.6185377791373509,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-large-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-medium,,0.0,0.0,,1,5e-05,0.637503823799327,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=1-twd=0
baseline,boolq,logconf,gpt2-medium,,0.0,0.0,,2,5e-05,0.6466809421841542,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=2-twd=0
baseline,boolq,logconf,gpt2-medium,gpt2,0.0,0.0,,0,5e-05,0.6102783725910065,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-medium,gpt2,0.0,0.0,,1,5e-05,0.617925971245029,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-medium,gpt2,0.0,0.0,,2,5e-05,0.6206791067604772,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2
baseline,boolq,logconf,gpt2-medium,gpt2-medium,0.0,0.0,,0,5e-05,0.6497399816457632,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-medium,gpt2-medium,0.0,0.0,,1,5e-05,0.6292444172529825,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=1-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-medium,gpt2-medium,0.0,0.0,,2,5e-05,0.6754359131232793,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=5e-05-ls=cosi_anne-mc=1024-ms=gpt2-medium-nd=20000-ntd=10000-o=adam-s=2-twd=0-wms=gpt2-medium
baseline,boolq,logconf,gpt2-xl,,0.0,0.0,,1,1e-05,0.5968185989599266,results/data/baseline/seed1/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-xl-nd=20000-ntd=10000-o=adam-s=1-twd=0
baseline,boolq,logconf,gpt2-xl,,0.0,0.0,,2,1e-05,0.6280208014683389,results/data/baseline/seed2/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-xl-nd=20000-ntd=10000-o=adam-s=2-twd=0
baseline,boolq,logconf,gpt2-xl,gpt2,0.0,0.0,,0,1e-05,0.6029366778831446,results/data/baseline/seed0/bs=32-dn=boolq-e=2-ee=1000000-lp=0-l=logconf-l=1e-05-ls=cosi_anne-mc=1024-ms=gpt2-xl-nd=20000-ntd=10000-o=adam-s=0-twd=0-wms=gpt2
